Run;K;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
19;6;-2703.1;-2134.9;1136.5;0.0543
39;10;-2509.6;-2081.9;855.5;0.0418
14;5;-2329.1;-2168.3;321.6;0.0605
46;3;-2506.6;-2384.5;244.1;0.0658
33;10;-2542.7;-2084.1;917.2;0.0418
13;6;-2399.3;-2114.3;570.0;0.0512
24;9;-2488.8;-2072.6;832.4;0.0432
40;4;-2346.8;-2188.2;317.0;0.0526
1;7;-2496.9;-2074.3;845.3;0.0481
34;8;-2850.1;-2092.3;1515.7;0.0457
47;7;-2603.9;-2085.7;1036.3;0.0482
12;2;-2732.5;-2646.4;172.2;0.1215
50;5;-2335.6;-2165.7;339.9;0.0606
36;6;-2494.7;-2118.6;752.3;0.0528
45;9;-2484.3;-2077.7;813.1;0.0432
16;10;-2690.4;-2094.8;1191.1;0.0421
21;4;-2347.2;-2188.2;317.8;0.0539
18;2;-2731.3;-2646.2;170.1;0.121
26;7;-2898.4;-2096.6;1603.6;0.0498
31;5;-2331.7;-2168.6;326.2;0.0622
2;9;-2789.2;-2086.3;1405.7;0.0434
11;3;-2516.7;-2384.9;263.7;0.0663
37;9;-2614.1;-2087.0;1054.2;0.0443
3;2;-2731.4;-2646.2;170.3;0.1218
38;4;-2348.2;-2188.6;319.3;0.0551
44;6;-2588.3;-2127.3;922.0;0.0528
43;5;-2332.1;-2168.0;328.3;0.0628
8;5;-2332.6;-2166.6;332.0;0.0614
8;10;-2695.4;-2080.6;1229.7;0.0411
28;5;-2346.8;-2166.4;360.7;0.0616
27;8;-2909.4;-2091.1;1636.6;0.0468
9;2;-2731.4;-2646.3;170.3;0.1187
32;4;-2345.7;-2188.5;314.3;0.053
25;6;-2514.8;-2163.5;702.7;0.0554
8;9;-2803.9;-2092.7;1422.3;0.0437
22;5;-2339.4;-2166.0;346.8;0.0606
2;10;-2629.6;-2083.2;1092.8;0.0414
2;5;-2337.7;-2168.4;338.5;0.0619
35;7;-2680.2;-2096.9;1166.5;0.0498
46;8;-2643.0;-2086.2;1113.6;0.0452
49;5;-2327.9;-2168.3;319.3;0.0614
4;8;-2663.4;-2083.5;1159.8;0.0463
24;2;-2733.0;-2646.3;173.5;0.1194
5;3;-2510.1;-2384.9;250.4;0.0665
12;9;-2666.8;-2095.7;1142.3;0.0431
41;10;-2569.5;-2075.6;987.9;0.0421
34;3;-2507.0;-2384.8;244.5;0.0673
10;7;-2953.5;-2098.3;1710.4;0.0495
45;2;-2732.5;-2646.3;172.4;0.1234
4;4;-2347.0;-2188.3;317.5;0.0541
17;4;-2347.0;-2188.3;317.4;0.0557
18;9;-2485.6;-2071.8;827.7;0.0435
20;10;-2566.7;-2085.5;962.4;0.0416
41;2;-2815.7;-2648.2;335.0;0.1289
14;7;-2498.9;-2123.9;750.1;0.0495
24;10;-2420.3;-2075.1;690.5;0.0415
13;4;-2345.4;-2188.6;313.7;0.0538
20;2;-2732.1;-2646.4;171.3;0.1206
1;3;-2505.8;-2384.3;242.9;0.0658
45;10;-2396.4;-2076.8;639.1;0.0412
30;3;-2506.7;-2384.2;244.9;0.0649
16;9;-2494.5;-2074.3;840.5;0.0426
19;4;-2344.2;-2188.4;311.5;0.0538
21;6;-2676.9;-2141.2;1071.3;0.0545
36;4;-2345.3;-2188.5;313.7;0.0543
39;9;-2460.0;-2072.2;775.6;0.0428
31;7;-2477.0;-2108.0;738.0;0.05
42;8;-2544.1;-2080.1;927.9;0.0464
29;8;-2682.9;-2085.7;1194.4;0.0457
26;5;-2331.0;-2166.7;328.5;0.0608
6;5;-2852.5;-2178.0;1349.1;0.0616
6;10;-2441.0;-2069.7;742.6;0.0415
33;9;-2623.1;-2082.2;1081.8;0.0426
7;2;-2732.2;-2646.4;171.7;0.1185
40;6;-2625.1;-2126.8;996.6;0.0537
15;3;-2622.8;-2389.2;467.2;0.0679
6;9;-2494.8;-2073.6;842.3;0.0431
50;7;-2678.7;-2100.8;1155.8;0.0495
23;8;-2649.0;-2088.3;1121.4;0.0459
47;5;-2333.0;-2166.1;333.8;0.0599
48;8;-2551.9;-2075.4;952.9;0.0459
13;5;-2334.3;-2168.3;332.0;0.0609
34;10;-2390.9;-2072.4;637.1;0.0419
41;3;-2507.1;-2384.6;245.1;0.0667
14;6;-2696.4;-2131.9;1128.9;0.0538
30;2;-2731.3;-2646.1;170.4;0.1191
16;8;-2395.9;-2071.5;648.9;0.0459
19;5;-2324.8;-2167.8;313.9;0.0625
20;3;-2509.1;-2385.0;248.2;0.0663
42;9;-2670.7;-2092.8;1155.8;0.0438
31;6;-2493.6;-2119.3;748.5;0.053
11;10;-2864.4;-2105.1;1518.7;0.0416
29;9;-2599.1;-2085.0;1028.1;0.0432
26;4;-2346.2;-2188.4;315.7;0.0541
21;7;-3073.2;-2109.5;1927.4;0.0503
36;5;-2342.9;-2166.8;352.2;0.0611
39;8;-2554.0;-2087.9;932.1;0.0469
23;9;-2525.4;-2079.0;892.9;0.0435
50;6;-2731.0;-2136.3;1189.4;0.0538
6;7;-2489.7;-2122.7;734.1;0.051
47;4;-2345.5;-2188.3;314.5;0.0545
48;9;-2447.0;-2069.5;755.0;0.0429
40;7;-2608.7;-2080.7;1056.0;0.0499
33;8;-2712.5;-2101.1;1222.9;0.0465
15;2;-2733.2;-2646.6;173.2;0.1167
2;7;-2583.5;-2098.2;970.5;0.0481
43;4;-2345.5;-2188.6;313.8;0.0532
28;4;-2345.0;-2188.4;313.4;0.0555
27;9;-2642.6;-2097.4;1090.2;0.0432
11;2;-2732.7;-2646.4;172.7;0.1195
44;7;-2901.0;-2109.4;1583.1;0.0492
37;8;-2556.8;-2079.2;955.4;0.0463
38;5;-2334.6;-2164.8;339.6;0.0603
22;4;-3050.6;-2256.8;1587.7;0.0684
15;10;-2479.7;-2077.3;804.8;0.0416
46;9;-2459.4;-2069.2;780.3;0.0428
49;4;-2654.4;-2195.7;917.3;0.0558
8;7;-2607.5;-2094.8;1025.3;0.0488
35;6;-2640.5;-2128.2;1024.7;0.0534
32;5;-2331.3;-2166.3;330.1;0.0623
25;7;-2621.9;-2089.1;1065.7;0.0491
12;8;-2590.0;-2083.4;1013.4;0.0466
4;6;-2387.5;-2113.5;548.1;0.0522
34;2;-3207.1;-2659.1;1096.0;0.1605
24;3;-2508.2;-2384.8;246.7;0.0672
17;5;-2335.4;-2166.1;338.6;0.0608
18;8;-2511.9;-2076.0;871.8;0.0454
10;6;-2648.2;-2155.5;985.5;0.0561
30;10;-2495.0;-2080.0;830.0;0.0421
45;3;-2505.7;-2384.6;242.1;0.0662
