Run;K;level;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
27;9;syntax;-1618.2;-1046.1;1144.3;0.0513
28;4;syntax;-1183.9;-1079.3;209.3;0.1302
23;2;morphology;-1131.0;-1093.2;75.5;0.0552
9;7;phonology;-328.3;-232.2;192.3;0.0396
37;3;phonology;-303.2;-275.3;55.9;0.0518
7;4;morphology;-950.4;-881.1;138.7;0.0397
28;10;morphology;-1227.9;-860.8;734.2;0.0384
48;2;morphology;-1130.9;-1093.2;75.5;0.056
11;9;phonology;-380.6;-237.3;286.7;0.0385
43;4;syntax;-1175.9;-1081.2;189.3;0.1351
25;7;syntax;-1542.0;-1063.3;957.5;0.0653
46;2;phonology;-337.8;-323.1;29.3;0.0792
10;4;morphology;-949.8;-881.0;137.7;0.0401
6;3;morphology;-1024.7;-970.1;109.3;0.0448
39;3;morphology;-1024.2;-970.3;107.9;0.0441
32;5;syntax;-1299.0;-1063.1;471.7;0.0909
13;7;phonology;-323.4;-232.1;182.6;0.0395
15;10;syntax;-1701.2;-1066.4;1269.5;0.0542
7;8;morphology;-1020.3;-830.1;380.4;0.0383
49;4;syntax;-1176.6;-1081.7;189.7;0.1412
14;4;phonology;-271.9;-238.0;67.7;0.0446
46;9;syntax;-1499.5;-1058.3;882.5;0.0538
42;2;morphology;-1130.8;-1093.3;75.0;0.0545
22;10;morphology;-1123.6;-853.8;539.6;0.0388
